Product Name,Brand,MRP,Selling Price,Discount,Rating,Reviews,Product URL,Category
Nat Habit Brahmi Matsyakshi Summer Dasabuti Baby Hair & Scal...,Nat,435,370,15%,N/A,218,https://www.nykaa.com/nat-habit-brahmi-matsyakshi-summer-dasabuti-baby-hair-scalp-oil/p/10346697?productId=10346697&pps=1,Baby
Max Care Virgin Coconut Oil Cold Pressed,Max,325,302,7%,N/A,104248,https://www.nykaa.com/max-care-virgin-cold-pressed-oil-for-hair-skin-with-coconut/p/832875?productId=832875&pps=2,Baby
Aveeno Baby Daily Moisture Wash & Shampoo - Natural Oat Gent...,Aveeno,1379,1299,6%,N/A,5227,https://www.nykaa.com/aveeno-baby-daily-moisture-wash-shampoo-natural-oat-gentle-cleanser-for-hair-sensitive-body-skin/p/17889837?productId=17889837&pps=3,Baby
Orimii Bump Hydrating Body Butter for Reducing Stretch Marks...,Orimii,695,660,5%,N/A,432,https://www.nykaa.com/orimii-bump-hydrating-whipped-butter-for-pregnancy-stretch-marks/p/10773982?productId=10773982&pps=4,Baby
Forest Essentials Baby Body Massage Oil Dasapushpadi - Ayurv...,Forest,N/A,N/A,N/A,N/A,169,https://www.nykaa.com/forest-essentials-baby-body-massage-serum-with-pure-ghee-dasapushpadi/p/34281?productId=34281&pps=5,Baby
Bare Anatomy Junior Gentle Cleansing Shampoo,Bare,978,860,12%,N/A,4501,https://www.nykaa.com/bare-anatomy-junior-gentle-cleansing-shampoo/p/20731693?productId=20731693&pps=6,Baby
Aveeno Baby Daily Moisture Lotion | Oatmeal Face & Body Mois...,Aveeno,1650,1525,8%,N/A,286,https://www.nykaa.com/aveeno-baby-daily-moisture-lotion/p/17215799?productId=17215799&pps=7,Baby
Aveeno Baby Daily Moisture Lotion | Oatmeal Face & Body Mois...,Aveeno,1050,949,10%,N/A,1806,https://www.nykaa.com/aveeno-baby-daily-moisturising-lotion/p/181560?productId=181560&pps=8,Baby
BABY FOREST Neer 99.9% Water Baby Wipes - Pack of 2 - Ages 0...,BABY,898,602,33%,N/A,4,https://www.nykaa.com/baby-forest-neer-99-9percent-water-baby-wipes-pack-of-2/p/16172307?productId=16172307&pps=9,Baby
"Cetaphil Baby Wash & Shampoo With Organic Calendula, 5 Fold ...",Cetaphil,1499,1379,8%,N/A,1536,https://www.nykaa.com/cetaphil-baby-wash-shampoo-with-organic-calendula/p/757131?productId=757131&pps=10,Baby
Orimii Belly Treatment Elixir - Body Oil For Stretch Marks; ...,Orimii,695,660,5%,N/A,355,https://www.nykaa.com/orimii-belly-treatment-elixir/p/10773989?productId=10773989&pps=11,Baby
"TuCo Kids No-Tear Shampoo, Ages 3-15 - Reetha & Henna",TuCo,450,338,25%,N/A,1036,https://www.nykaa.com/tuco-intelligent-kids-mild-shampoo/p/12671289?productId=12671289&pps=12,Baby
Mustela Gentle Cleansing Gel,Mustela,1350,999,26%,N/A,39,https://www.nykaa.com/mustela-gentle-cleansing-gel-500ml/p/515172?productId=515172&pps=13,Baby
Bioderma Ultra-Soothing Foaming Gel Atoderm Intensive Gel Mo...,Bioderma,N/A,N/A,N/A,N/A,2359,https://www.nykaa.com/bioderma-atoderm-intensive-gel-moussant/p/278742?productId=278742&pps=14,Baby
"Sebamed Baby Protective Facial Cream, pH 5.5, Baby Face Crea...",Sebamed,N/A,N/A,N/A,5.5,1514,https://www.nykaa.com/sebamed-baby-protective-facial-cream-50ml/p/81070?productId=81070&pps=15,Baby
"Tuco Kids Face Wash for Dull Skin, with Turmeric & Kakadu Pl...",Tuco,250,205,18%,N/A,1210,https://www.nykaa.com/tuco-intelligent-dull-skin-facewash-for-kids/p/15411746?productId=15411746&pps=16,Baby
Forest Essentials Baby Head Massage Oil Dasapushpadi - Ayurv...,Forest,N/A,N/A,N/A,N/A,107,https://www.nykaa.com/forest-essentials-baby-head-massage-oil-dasapushpadi/p/34280?productId=34280&pps=17,Baby
"Cetaphil Baby Soothing Moisturising Cream, 48 Hour Hydration...",Cetaphil,499,464,7%,N/A,391,https://www.nykaa.com/cetaphil-baby-soothing-moisturising-cream/p/22166102?productId=22166102&pps=18,Baby
Cetaphil Baby Daily Lotion With Organic Calendula - 5 Fold P...,Cetaphil,1699,1580,7%,N/A,1371,https://www.nykaa.com/cetaphil-baby-daily-lotion-with-organic-calendula/p/757130?productId=757130&pps=19,Baby
Cetaphil Restoraderm Body Moisturizer Repairs Skin Barrier f...,Cetaphil,N/A,N/A,N/A,N/A,478,https://www.nykaa.com/cetaphil-restoraderm-skin-restoring-moisturizer-lotion-295ml/p/20977?productId=20977&pps=20,Baby
