Product Name,Brand,MRP,Selling Price,Discount,Rating,Reviews,Product URL,Category
Carbamide Forte Biotin Tablets for Hair Growth with 50 Multi...,Carbamide,920,599,35%,N/A,205,https://www.nykaa.com/carbamide-forte-biotinova-gold-supplements/p/780650?productId=780650&pps=1,Healthcare
Brinton Healthcare Uvdoux Face & Body Sunscreen Gel,Brinton,845,777,8%,N/A,2507,https://www.nykaa.com/brinton-healthcare-uvdoux-face-body-sunscreen-gel/p/1102510?productId=1102510&pps=2,Healthcare
Inlife Biotin Advanced Hair Skin & Nails Supplement with Mul...,Inlife,619,449,27%,N/A,43,https://www.nykaa.com/inlife-advanced-hair-skin-nails-supplement-60-capsules/p/312984?productId=312984&pps=3,Healthcare
Midazzle Dual Action Plastic Tongue Cleaner With Handle For ...,Midazzle,75,71,5%,N/A,9,https://www.nykaa.com/midazzle-2ools-plastic-tongue-cleaner-fights-bad-breath-oral-health-care-pack-of-1/p/26939451?productId=26939451&pps=4,Healthcare
"BODYOPS Biotin Calcium, Magnesium and Zinc 1000mcg Capsules",BODYOPS,N/A,N/A,N/A,N/A,1,https://www.nykaa.com/bodyops-biotin-calcium-magnesium-and-zinc-1000mcg-capsules/p/18860612?productId=18860612&pps=5,Healthcare
Majestique Luxury Portable Baby Care Kit,Majestique,599,497,17%,N/A,104,https://www.nykaa.com/majestique-luxury-portable-baby-care-kit/p/10119972?productId=10119972&pps=6,Healthcare
HealthKart Hk Vitals Skin Radiance Collagen Supplement With ...,HealthKart,975,909,7%,N/A,10214,https://www.nykaa.com/healthkart-hk-vitals-skin-radiance-collagen-supplement-with-biotin-orange/p/8660231?productId=8660231&pps=7,Healthcare
Biocule Vitamin C Strawberry Plump Lip Plumping Cream,Biocule,N/A,N/A,N/A,N/A,18,https://www.nykaa.com/biocule-vitamin-c-strawberry-plump-lip-plumping-cream/p/8261562?productId=8261562&pps=8,Healthcare
YourHappyLife Marine Collagen Reglow 8000mg with Glutathione...,YourHappyLife,2199,1803,18%,N/A,151,https://www.nykaa.com/yourhappylife-collagen-skin-anti-aging-sachets-aloevera-passionfruit/p/2662629?productId=2662629&pps=9,Healthcare
HealthKart HK Vitals Skin Radiance Collagen - Orange & Gluta...,HealthKart,1398,1169,16%,N/A,517,https://www.nykaa.com/healthkart-hk-vitals-skin-radiance-collagen-orange-glutathione-tablets-watermelon/p/14989796?productId=14989796&pps=10,Healthcare
Be Bodywise Collagen Builder Gummies Vitamins For Skin Nouri...,Be,999,449,55%,N/A,1380,https://www.nykaa.com/be-bodywise-collagen-skin-gummies/p/4906321?productId=4906321&pps=11,Healthcare
"Healthkart HK Vitals Biotin, Supplement For Hair Growth, Str...",Healthkart,469,389,17%,N/A,6379,https://www.nykaa.com/healthkart-biotin-maximum-strength-for-hair-skin-nails-10000-mcg/p/8546109?productId=8546109&pps=12,Healthcare
Miduty Marine Collagen 4X Hydrolysed Collagen Peptides Skin ...,Miduty,N/A,N/A,N/A,N/A,68,https://www.nykaa.com/miduty-marine-collagen-4x/p/20200245?productId=20200245&pps=13,Healthcare
HealthKart Hk Vitals Hair Nourish Collagen Supplement Powder...,HealthKart,1549,1399,10%,N/A,10,https://www.nykaa.com/healthkart-hk-vitals-hair-nourish-collagen-supplement-powder-orange/p/27682288?productId=27682288&pps=14,Healthcare
Mountainor Collagen for Youthful & Glowing Skin with Biotin ...,Mountainor,899,729,19%,N/A,570,https://www.nykaa.com/mountainor-plant-based-collagen-builder-capsules-for-women-men/p/2785275?productId=2785275&pps=15,Healthcare
Beautywise Advanced Marine Collagen Anti-Aging Powder- Gluta...,Beautywise,2299,1609,30%,N/A,208,https://www.nykaa.com/beautywise-advanced-marine-collagen-proteins-powder-mango-peach-flavour/p/9344525?productId=9344525&pps=16,Healthcare
Beautywise Advanced Marine Collagen Anti-Aging Powder- Gluta...,Beautywise,2299,1609,30%,N/A,123,https://www.nykaa.com/beautywise-marine-collagen-peptides-cocoa/p/757581?productId=757581&pps=17,Healthcare
HealthKart Hk Vitals Collagen Tablets,HealthKart,509,499,2%,N/A,79,https://www.nykaa.com/healthkart-hk-vitals-collagen-tablets/p/24074361?productId=24074361&pps=18,Healthcare
Nutrova Marine Collagen Peptides Powder - Unflavoured,Nutrova,2140,2029,5%,N/A,19,https://www.nykaa.com/nutrova-marine-collagen-peptides-powder-unflavoured/p/18887306?productId=18887306&pps=19,Healthcare
Plix Collagen Builder Bubbly Effervescent Tablets Vitamin C ...,Plix,310,305,2%,N/A,283,https://www.nykaa.com/plix-veg-collagen-effervescent-watermelon-flavored-tablets/p/13877651?productId=13877651&pps=20,Healthcare
